Se7en,807,"[550, 4547, 2649, 1949, 210577, 4922, 65754, 37799, 8077, 2043]"
Pocahontas,10530,"[10948, 37135, 9837, 16520, 11837, 14003, 812, 15969, 15213, 11238]"
When Night Is Falling,8391,"[10399, 29371, 10938, 294, 513, 306952, 25189, 124642, 14629, 50035]"
The Usual Suspects,629,"[77064, 9445, 81005, 36658, 36657, 2253, 246655, 1452, 127585, 1538]"
Mighty Aphrodite,11448,"[2779, 12762, 11302, 81836, 38031, 8288, 19200, 9689, 11337, 11686]"
Lamerica,49133,"[41970, 60141, 12632, 51927, 5622, 38523, 124475, 13898, 55551, 36791]"
The Big Green,26441,"[27281, 332, 14361, 11212, 14560, 11839, 11335, 1499, 45864, 12279]"
Georgia,97406,"[30943, 32077, 3055, 10537, 17912, 13649, 21721, 2054, 11887, 179144]"
Home for the Holidays,9089,"[50780, 11521, 303858, 16857, 14629, 50035, 83714, 15019, 38093, 49963]"
The Confessional,99040,"[24488, 11020, 8271, 11190, 49517, 9315, 9963, 110, 3594, 2786]"
The Indian in the Cupboard,11359,"[11899, 10806, 10276, 10407, 11353, 10141, 9890, 11371, 34803, 10776]"
Eye for an Eye,17182,"[3116, 5122, 32513, 26578, 24134, 26535, 118098, 32076, 45938, 250734]"
Mr. Holland's Opus,2054,"[12508, 15413, 16643, 9713, 10414, 52451, 11674, 13649, 1648, 11887]"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,10607,"[9298, 21724, 12153, 12657, 292, 20239, 15278, 2287, 308639, 277216]"
Two If by Sea,19760,"[2642, 26255, 30295, 12779, 20457, 29076, 38251, 19899, 47475, 110972]"
Bio-Dome,9536,"[25723, 27202, 114719, 19326, 10635, 13203, 10406, 18550, 161495, 15653]"
Lawnmower Man 2: Beyond Cyberspace,11525,"[97, 17832, 11867, 10796, 7916, 1946, 20526, 4965, 1738, 19959]"
French Twist,4482,"[37818, 32058, 24621, 14845, 12538, 41756, 248774, 18080, 12779, 9489]"
Friday,10634,"[4551, 9400, 22803, 9631, 10536, 277216, 11637, 650, 16097, 40505]"
From Dusk Till Dawn,755,"[1992, 9367, 1428, 106747, 8068, 187, 23631, 14199, 10054, 9276]"
Kicking and Screaming,28387,"[27583, 10707, 121986, 13998, 252512, 13203, 8992, 59930, 32513, 18169]"
Les Miserables,48750,"[37335, 42726, 2786, 269, 152532, 1629, 15383, 2894, 54083, 10452]"
Bed of Roses,20927,"[52772, 22067, 15143, 3084, 31866, 26333, 60437, 30285, 37975, 46797]"
Screamers,9102,"[18355, 15074, 11398, 28070, 25557, 48311, 65460, 39154, 13559, 55667]"
Nico Icon,124626,"[206822, 24257, 52059, 79515, 113279, 54714, 50314, 202475, 33377, 41212]"
The Crossing Guard,27526,"[5955, 5915, 38295, 33408, 2649, 13633, 38363, 21128, 24525, 26578]"
The Juror,9623,"[15765, 11133, 1618, 138697, 1645, 285783, 8270, 9879, 12623, 43542]"
The White Balloon,46785,"[13898, 13209, 13209, 13209, 13209, 13209, 13209, 13209, 13209, 20737]"
Things to Do in Denver When You're Dead,400,"[9437, 11329, 12103, 4965, 3134, 27292, 22073, 332411, 11826, 10029]"
Antonia's Line,880,"[38904, 464, 25110, 13852, 310121, 10368, 11593, 12779, 11332, 15179]"
Once Upon a Time... When We Were Colored,146599,"[125582, 29478, 86241, 250734, 29461, 46991, 77332, 48149, 31005, 19114]"
Last Summer in the Hamptons,188588,"[862, 8844, 15602, 31357, 11862, 949, 6620, 45325, 9091, 710]"
Angels and Insects,8447,"[47724, 16535, 3084, 60437, 12618, 37975, 46797, 124460, 14553, 46986]"
White Squall,10534,"[12113, 276907, 4105, 147441, 855, 19067, 109091, 20662, 31650, 98]"
Dunston Checks In,17414,"[17894, 21185, 10184, 9779, 2959, 36536, 27281, 332, 14361, 22102]"
Black Sheep,13997,"[12538, 11041, 8872, 28054, 10897, 21137, 36724, 11381, 10313, 10956]"
Nick of Time,2086,"[10498, 6341, 14040, 4954, 11009, 9409, 2605, 33521, 860, 1727]"
Mary Reilly,9095,"[27857, 1363, 42013, 79, 11844, 3472, 243, 11240, 859, 12664]"
Vampire in Brooklyn,12158,"[26149, 4233, 11460, 17918, 9792, 4232, 4234, 23437, 33278, 15516]"
Beautiful Girls,9283,"[38868, 6522, 4133, 10872, 25010, 25128, 11191, 59930, 32513, 18169]"
Broken Arrow,9208,"[47423, 12289, 10835, 9620, 15384, 2019, 11782, 12100, 754, 11471]"
A Midwinter's Tale,40154,"[51333, 11790, 11971, 11498, 125705, 3036, 22638, 150689, 10195, 137094]"
La Haine,406,"[47507, 60670, 4970, 9381, 25541, 25541, 25541, 25541, 25541, 25541]"
Shopping,45549,"[9425, 395, 52451, 10483, 35791, 1576, 71679, 9312, 8413, 10329]"
Heidi Fleiss: Hollywood Madam,63076,"[13907, 37088, 34328, 85533, 24587, 33740, 77448, 30168, 29047, 32562]"
City Hall,11062,"[2246, 10627, 33831, 12150, 8838, 11456, 75780, 968, 32047, 13815]"
Bottle Rocket,13685,"[11545, 4538, 120467, 9428, 421, 83666, 10315, 6418, 5996, 20637]"
Mr. Wrong,47475,"[12139, 24086, 16560, 11008, 11884, 33657, 50463, 37818, 10806, 4806]"
Unforgettable,2045,"[25284, 10220, 10866, 10427, 8141, 13922, 20620, 8836, 13811, 10329]"
Happy Gilmore,9614,"[109418, 71880, 3563, 38365, 9957, 10878, 11077, 50546, 10661, 9032]"
The Bridges of Madison County,688,"[21866, 15393, 6723, 11901, 37917, 44603, 88794, 9559, 10354, 10747]"
Muppet Treasure Island,10874,"[10437, 8446, 13671, 46159, 10054, 25872, 6646, 1496, 21724, 14301]"
Catwalk,89333,"[24257, 52059, 79515, 113279, 54714, 50314, 202475, 33377, 41212, 41778]"
Braveheart,197,"[10502, 1579, 615, 11646, 2024, 125705, 2669, 1941, 9289, 10590]"
Taxi Driver,103,"[22784, 65673, 524, 203, 42694, 19082, 16153, 12637, 11873, 55676]"
Rumble in the Bronx,33542,"[9404, 38955, 11134, 9438, 2109, 9056, 8697, 16407, 5175, 21519]"
Before and After,43566,"[38718, 21454, 44321, 10937, 9458, 11892, 9605, 16759, 1770, 42449]"
Margaret's Museum,71754,"[21867, 47104, 45609, 14120, 11593, 11257, 4380, 43266, 38909, 60141]"
Anne Frank Remembered,51352,"[51927, 125705, 3036, 11790, 11971, 60141, 15665, 22638, 11498, 24348]"
The Young Poisoner's Handbook,16934,"[40913, 26618, 212, 31776, 20871, 17590, 45905, 37495, 18912, 504]"
If Lucy Fell,10324,"[16388, 42719, 21055, 1555, 17402, 25723, 20438, 54973, 35395, 15128]"
Steal Big Steal Little,78406,"[20721, 8326, 1965, 31606, 8845, 12123, 9884, 9395, 5503, 18569]"
The Boys of St. Vincent,32119,"[37272, 9909, 21801, 60270, 256092, 38223, 11814, 1779, 14671, 47104]"
Boomerang,11066,"[16888, 20759, 16094, 10763, 45147, 32330, 9085, 31633, 6964, 1824]"
Chungking Express,11104,"[40751, 843, 844, 11220, 36266, 10775, 12289, 15384, 79, 11782]"
The Star Maker,37975,"[152742, 11216, 10867, 10376, 3084, 60437, 46797, 124460, 14553, 46986]"
Flirting with Disaster,2074,"[17600, 274479, 168672, 45317, 1599, 82693, 6415, 20457, 15875, 9398]"
The Neverending Story III: Escape from Fantasia,27793,"[3513, 1370, 266647, 10515, 51120, 673, 43337, 3587, 24816, 17834]"
Pie in the Sky,110972,"[16270, 6068, 14940, 47475, 17402, 30528, 90214, 33657, 15513, 49721]"
Angela,32622,"[32625, 55561, 30309, 14587, 49963, 25128, 15104, 13668, 63020, 26475]"
Frankie Starlight,73067,"[20556, 31657, 51426, 3175, 22971, 31439, 4476, 42658, 1716, 221917]"
Jade,11863,"[32043, 9846, 38985, 27958, 1051, 19819, 10479, 10632, 73567, 9552]"
Down Periscope,9101,"[11067, 25297, 18133, 9942, 10804, 9785, 36648, 19953, 9660, 33657]"
Up Close & Personal,9302,"[19855, 1633, 9407, 3489, 2018, 26798, 87496, 547, 66599, 13482]"
The Birdcage,11000,"[22414, 19382, 36492, 13818, 3525, 11364, 9440, 10364, 24019, 10395]"
The Brothers McMullen,16388,"[31016, 11363, 16643, 5781, 10324, 39424, 41469, 15186, 14118, 22958]"
The Amazing Panda Adventure,30765,"[10081, 64945, 11967, 11231, 9054, 45325, 43037, 29918, 27985, 34774]"
The Basketball Diaries,10474,"[19819, 88794, 45129, 1900, 32303, 640, 36351, 36136, 5693, 35696]"
An Awfully Big Adventure,22279,"[26561, 11820, 12596, 9543, 9366, 712, 40913, 674, 49184, 171982]"
Amateur,30157,"[37291, 46986, 228326, 38545, 37410, 11229, 20876, 36049, 26618, 9515]"
Apollo 13,568,"[11499, 2619, 1552, 96721, 12280, 14742, 391698, 11374, 11259, 2924]"
Rob Roy,11780,"[4824, 3093, 32261, 8092, 11821, 12651, 8588, 4917, 14411, 9342]"
The Addiction,34996,"[9558, 49299, 21612, 13553, 21430, 12143, 4722, 47620, 44754, 40723]"
Batman Forever,414,"[415, 13195, 11557, 10687, 1817, 10629, 8224, 10731, 70578, 9079]"
Belle de Jour,649,"[5781, 5558, 626, 35838, 35124, 36245, 4497, 5729, 35206, 4593]"
Beyond Rangoon,1873,"[32054, 26039, 10669, 961, 31681, 2575, 11586, 4923, 11532, 11527]"
Blue in the Face,5894,"[10149, 42580, 9087, 9024, 10779, 10996, 11824, 6878, 25059, 10137]"
Canadian Bacon,1775,"[1777, 1774, 1779, 1430, 2359, 66600, 25113, 18913, 40505, 19419]"
Casper,8839,"[11774, 31005, 18162, 2357, 795, 10202, 15138, 196257, 888, 10756]"
Clockers,20649,"[41823, 24664, 23618, 26580, 61752, 1713, 58923, 36739, 87516, 49471]"
Congo,10329,"[7305, 9036, 6488, 13811, 9620, 8836, 10596, 45549, 2362, 20620]"
Crimson Tide,8963,"[44048, 7551, 1535, 18487, 9923, 9509, 74899, 319, 2119, 11654]"
Crumb,26564,"[1548, 9786, 10147, 368620, 319076, 3293, 84287, 256876, 27745, 67273]"
Desperado,8068,"[1428, 9367, 106747, 23631, 1992, 755, 10054, 9488, 12279, 14199]"
Devil in a Blue Dress,8512,"[53113, 2116, 21128, 11560, 31043, 829, 320, 10990, 11468, 4997]"
Die Hard: With a Vengeance,1572,"[562, 10782, 1669, 912, 11484, 106, 1911, 9096, 9593, 26725]"
The Doom Generation,13552,"[35122, 1811, 33560, 157825, 46837, 11171, 13168, 10551, 10589, 1574]"
Feast of July,259209,"[32303, 320011, 39125, 33909, 9344, 8321, 73499, 31667, 26578, 42148]"
First Knight,6520,"[9896, 251, 8764, 42657, 43832, 11983, 42658, 4460, 65994, 232]"
Free Willy 2 - The Adventure Home,9073,"[10173, 9415, 11237, 42194, 11357, 18519, 1634, 158999, 9273, 168]"
Hackers,10428,"[45609, 12635, 2309, 9913, 167, 9705, 228968, 9812, 21610, 70074]"
Jeffrey,17447,"[8463, 36614, 197033, 10860, 59930, 32513, 18169, 32060, 24071, 31121]"
Johnny Mnemonic,9886,"[12123, 10447, 21259, 72190, 42470, 10921, 68724, 6950, 5550, 2114]"
Judge Dredd,9482,"[3600, 49049, 11234, 1705, 15785, 42033, 4917, 19673, 20504, 198663]"
Jury Duty,19326,"[9429, 18203, 17731, 27202, 28134, 28059, 24525, 13195, 17203, 32686]"
Kids,9344,"[18484, 36136, 9517, 12718, 32303, 259209, 320011, 39125, 33909, 598]"
Living in Oblivion,9071,"[13650, 31146, 45145, 27845, 37291, 25985, 15186, 11593, 49963, 13891]"
Lord of Illusions,8973,"[20481, 9003, 11618, 11343, 1977, 27374, 10131, 11377, 11075, 10160]"
Love & Human Remains,15730,"[47302, 18499, 4486, 11042, 42015, 21450, 15321, 108401, 24081, 31306]"
Mad Love,47608,"[38321, 10212, 22625, 35690, 17474, 20813, 22798, 10464, 26949, 10635]"
Mallrats,2293,"[2294, 2292, 9541, 2295, 1832, 246403, 10358, 2255, 23742, 48572]"
Mighty Morphin Power Rangers: The Movie,9070,"[14908, 10371, 10249, 11940, 25628, 1499, 6499, 13764, 14822, 24746]"
Mute Witness,48787,"[9406, 41090, 11206, 2045, 9282, 376570, 32904, 877, 9717, 9424]"
Nadja,34574,"[125705, 10577, 33521, 11654, 28679, 793, 4513, 7131, 11343, 1730]"
The Net,1642,"[19119, 15556, 15237, 11457, 19380, 9311, 38617, 31924, 14595, 20298]"
Nine Months,11472,"[788, 2277, 771, 772, 257344, 19840, 9441, 32657, 14367, 671]"
Party Girl,36196,"[35680, 58680, 9027, 40694, 26475, 55561, 49963, 340, 32622, 30309]"
The Prophecy,11980,"[9033, 11428, 25508, 10823, 561, 16559, 9100, 49126, 4961, 28679]"
Safe,32646,"[1387, 10712, 202241, 148033, 1808, 47620, 238478, 3902, 258480, 8669]"
Showgirls,10802,"[633, 9383, 97020, 12775, 563, 64635, 402, 535, 8617, 12519]"
Smoke,10149,"[17880, 135418, 17379, 21349, 7303, 14272, 19931, 5894, 883, 28059]"
Something to Talk About,18402,"[41951, 8816, 228194, 9681, 1715, 1947, 112949, 22971, 1587, 28178]"
Species,9348,"[5916, 74998, 1647, 19380, 28433, 11973, 7520, 10164, 9912, 2669]"
Strange Days,281,"[13526, 8665, 9491, 12162, 1089, 11879, 97630, 1903, 9271, 20764]"
The Umbrellas of Cherbourg,5967,"[3055, 31657, 1716, 42158, 25037, 30970, 58467, 4380, 46702, 38909]"
The Tie That Binds,79593,"[14807, 162145, 42449, 9930, 11020, 11508, 393, 994, 12528, 211067]"
Three Wishes,47939,"[54982, 32221, 83714, 18080, 14370, 11137, 19053, 2928, 30250, 9300]"
Total Eclipse,36834,"[36773, 8996, 11236, 124642, 14629, 50035, 83714, 15019, 33809, 38093]"
"To Wong Foo, Thanks for Everything! Julie Newmar",9090,"[9801, 8463, 2759, 11000, 31225, 28628, 27103, 13403, 9261, 8970]"
Under Siege 2: Dark Territory,3512,"[9278, 9086, 10176, 6623, 11893, 14807, 10167, 3177, 8845, 10632]"
Unstrung Heroes,52856,"[10385, 18417, 48259, 35680, 9043, 9820, 6964, 253235, 15045, 17880]"
Unzipped,77350,"[83443, 55244, 24257, 52059, 79515, 113279, 54714, 50314, 202475, 33377]"
A Walk in the Clouds,9560,"[18183, 76544, 43340, 215373, 59820, 47735, 43824, 32456, 32331, 19382]"
Waterworld,9804,"[8367, 15267, 11362, 20348, 6072, 9044, 581, 9922, 2055, 36657]"
White Man's Burden,31611,"[47104, 38295, 3009, 11128, 14120, 11593, 17133, 75490, 38909, 49370]"
The Browning Version,49805,"[15059, 125520, 2625, 11060, 12616, 12767, 36234, 451, 124460, 48149]"
Burnt by the Sun,50797,"[28463, 2755, 47104, 14120, 87093, 2253, 11593, 55936, 38909, 60141]"
Before the Rain,19155,"[9952, 600, 15267, 29383, 128158, 227306, 42006, 29586, 49320, 20941]"
Before Sunrise,76,"[80, 42807, 28059, 132344, 9081, 85350, 13341, 1584, 92591, 9571]"
Billy Madison,11017,"[19952, 9490, 15278, 17130, 109418, 24081, 71880, 23427, 23637, 37818]"
The Babysitter,37141,"[16876, 10677, 33408, 27303, 27768, 42449, 87380, 43566, 4916, 46063]"
Boys on the Side,9382,"[13571, 14741, 1793, 39282, 42597, 10860, 61280, 16384, 12661, 29578]"
The Cure,6715,"[82623, 45325, 22796, 17908, 43535, 65157, 65158, 123056, 40454, 15397]"
Castle Freak,18256,"[14510, 870, 12088, 1694, 32043, 15658, 29143, 63311, 2655, 32076]"
Circle of Friends,22625,"[1921, 63639, 129628, 12723, 32059, 55123, 14292, 13150, 47608, 10078]"
Clerks,2292,"[2295, 2294, 9541, 246403, 10358, 1832, 2293, 23742, 2255, 48572]"
Don Juan DeMarco,1909,"[49184, 171982, 24908, 20128, 62976, 22279, 44705, 85328, 42719, 28628]"
Disclosure,8984,"[27141, 11393, 3172, 9895, 10337, 10881, 11904, 10896, 8944, 819]"
Drop Zone,4954,"[9409, 1727, 10498, 14040, 2086, 6341, 2605, 33521, 11009, 860]"
Destiny Turns on the Radio,62488,"[9600, 23939, 228326, 20306, 70436, 16127, 53172, 10833, 27593, 27465]"
Death and the Maiden,10531,"[11502, 11439, 3053, 4772, 10675, 11482, 11481, 197082, 10497, 805]"
Dolores Claiborne,11929,"[22160, 42003, 34053, 16082, 11983, 2623, 9702, 1677, 1813, 7183]"
Dumb and Dumber,8467,"[100042, 10201, 414, 193610, 2105, 11826, 33657, 35343, 868, 19064]"
Eat Drink Man Woman,10451,"[9261, 26320, 22267, 68924, 4584, 142, 146, 87827, 4588, 1927]"
Exotica,20156,"[47692, 10217, 9729, 244761, 25504, 86812, 244063, 29193, 9613, 2297]"
Exit to Eden,18395,"[25010, 18417, 29968, 353069, 10780, 62838, 38554, 11130, 4806, 15592]"
Ed Wood,522,"[87093, 2668, 5683, 162, 62213, 25694, 118, 75, 4011, 2661]"
French Kiss,397,"[24071, 31052, 12560, 13697, 318033, 11509, 14412, 12160, 9489, 2613]"
Forget Paris,10525,"[54087, 20536, 47881, 1406, 639, 11310, 2639, 88042, 17127, 12772]"
Far from Home: The Adventures of Yellow Dog,27985,"[13380, 45325, 43037, 29918, 34774, 38575, 30765, 28356, 34723, 37437]"
A Goofy Movie,15789,"[4523, 10481, 37135, 15653, 812, 19042, 10192, 184315, 16866, 950]"
Hideaway,27303,"[82623, 10163, 9271, 33408, 6521, 44027, 36584, 24111, 27526, 37141]"
Fluke,21183,"[47867, 9447, 24086, 28032, 14334, 62931, 13466, 13768, 1585, 2300]"
Farinelli,10954,"[24192, 10858, 205596, 17729, 42536, 139405, 4556, 372981, 372981, 10139]"
Gordy,47867,"[24086, 28032, 14334, 2300, 21183, 110420, 21972, 15265, 31586, 9447]"
Gumby: The Movie,43475,"[13225, 35614, 12600, 12600, 12600, 12600, 12600, 12600, 12600, 12600]"
The Glass Shield,72031,"[94725, 22314, 49291, 51823, 25927, 13333, 10889, 19457, 14807, 12647]"
Hoop Dreams,14275,"[51927, 250766, 72711, 26306, 5693, 25682, 25678, 7233, 12500, 14736]"
Heavenly Creatures,1024,"[57158, 7980, 10779, 8216, 254, 122917, 763, 9964, 122, 121]"
Houseguest,17207,"[36807, 14817, 9099, 41465, 9279, 54825, 18660, 22777, 20173, 13962]"
Immortal Beloved,13701,"[9529, 14924, 38909, 29380, 6282, 42121, 65203, 43340, 18535, 80585]"
Heavyweights,14819,"[9678, 10762, 2022, 8457, 20737, 9894, 9398, 329833, 9745, 15045]"
I.Q.,11777,"[41166, 41758, 214075, 12145, 11584, 23210, 10170, 35119, 59930, 32513]"
Interview with the Vampire,628,"[21362, 10002, 5996, 1770, 6016, 28902, 20024, 11386, 22797, 33521]"
Jefferson in Paris,87729,"[109600, 49788, 111815, 11257, 72987, 8293, 26371, 1245, 41843, 9499]"
The Jerky Boys,18713,"[16155, 9535, 9932, 9835, 10154, 2069, 2075, 11895, 8141, 109431]"
Junior,6280,"[9493, 14035, 6068, 12499, 11566, 9930, 951, 200505, 10890, 41630]"
Just Cause,9061,"[40082, 11851, 25212, 19380, 573, 8677, 17168, 16636, 18030, 2212]"
A Kid in King Arthur's Court,37108,"[10019, 40866, 10208, 11243, 14822, 11511, 14821, 18887, 11052, 12600]"
Star Wars,11,"[1893, 1894, 1895, 1891, 636, 1892, 838, 12180, 140607, 72545]"
A Little Princess,19101,"[9410, 49047, 1391, 11236, 9693, 673, 47867, 21183, 24086, 28032]"
Ladybird Ladybird,49980,"[8129, 37691, 7992, 18898, 1404, 1376, 38884, 1116, 16347, 10950]"
L'Enfer,17961,"[10305, 1802, 42148, 32303, 67612, 31863, 7183, 19092, 60033, 31776]"
Like Water for Chocolate,18183,"[9560, 47866, 4974, 2470, 2307, 19460, 41760, 18569, 3084, 4380]"
Legends of the Fall,4476,"[18169, 9665, 245698, 43347, 13813, 9882, 10684, 1372, 616, 9664]"
Major Payne,11008,"[12139, 47475, 24086, 16560, 11884, 27281, 332, 14361, 22102, 11774]"
Little Odessa,47504,"[19457, 10362, 2001, 152599, 42739, 31581, 21253, 256740, 307081, 13813]"
Mi Vida Loca,32325,"[58985, 102933, 5, 47866, 10126, 2034, 9702, 13199, 11474, 42148]"
Love Affair,43742,"[14441, 9413, 18727, 18254, 60437, 31121, 37606, 18701, 28569, 50363]"
Losing Isaiah,28313,"[17133, 1634, 169813, 205220, 31220, 42731, 343921, 503, 31357, 85638]"
The Madness of King George,11318,"[17127, 20539, 8618, 10560, 140823, 87504, 37345, 20324, 43122, 37044]"
Mary Shelley's Frankenstein,3036,"[125705, 11971, 51333, 11498, 11790, 22638, 40154, 150689, 137094, 10195]"
Man of the House,40490,"[2612, 26261, 28736, 39180, 23172, 256961, 15489, 12610, 11504, 18360]"
Mixed Nuts,24070,"[9489, 41776, 2928, 9722, 24803, 858, 10783, 9043, 14629, 50035]"
Milk Money,8986,"[40001, 10466, 12121, 31044, 12120, 16969, 4587, 12505, 2690, 42604]"
Miami Rhapsody,17402,"[73937, 14306, 350, 31306, 10324, 12518, 10849, 47475, 110972, 30528]"
My Family,38722,"[16052, 17435, 46702, 33344, 49806, 63020, 13998, 105077, 28059, 24525]"
Murder in the First,8438,"[15142, 5996, 1429, 245706, 17443, 12623, 10360, 9930, 10754, 5996]"
Nobody's Fool,11593,"[8966, 13681, 10922, 12647, 42228, 61178, 12102, 9586, 88875, 42635]"
Nell,1945,"[51863, 50754, 116167, 15163, 20561, 20562, 20553, 54752, 26203, 1957]"
New Jersey Drive,39310,"[25166, 42148, 21309, 1266, 32303, 968, 75780, 23957, 573, 9523]"
Beyond Bedlam,56428,"[18414, 31417, 837, 9077, 32569, 21168, 4961, 47620, 9538, 266294]"
Nina Takes a Lover,131957,"[19828, 3084, 21887, 60437, 37975, 46797, 124460, 14553, 46986, 25147]"
Natural Born Killers,241,"[33909, 42149, 25783, 82525, 10155, 9563, 10673, 10132, 10858, 31642]"
Only You,9058,"[24625, 2039, 45840, 4939, 22233, 41488, 31918, 10400, 3587, 24735]"
Once Were Warriors,527,"[10990, 36669, 1738, 2043, 9433, 11679, 9695, 71881, 10081, 895]"
Poison Ivy II: Lily,18220,"[12112, 8088, 31650, 38295, 48482, 3134, 23159, 48260, 5852, 22784]"
Outbreak,6950,"[9386, 2133, 11864, 2071, 387, 503, 9772, 652, 34584, 12123]"
Leon: The Professional,101,"[9322, 112205, 175, 10047, 9992, 240832, 18, 31593, 10427, 24229]"
The Perez Family,63020,"[41791, 480, 16727, 28005, 11632, 45129, 8915, 49963, 25128, 15104]"
A Pyromaniac's Love Story,2307,"[5187, 33575, 59930, 32513, 18169, 32060, 24071, 31121, 25010, 17190]"
Pulp Fiction,680,"[184, 273248, 393, 500, 24, 16869, 1991, 68718, 10782, 9257]"
Quiz Show,11450,"[87496, 13482, 4515, 4958, 60309, 16619, 293, 547, 642, 91076]"
Picture Bride,30304,"[1904, 37044, 1396, 13537, 14050, 25624, 51763, 42536, 37345, 59820]"
Queen Margot,10452,"[24190, 11986, 152532, 14652, 2894, 54083, 18320, 978, 48750, 11673]"
The Quick and the Dead,12106,"[328425, 9556, 558, 10390, 557, 10223, 16871, 68728, 559, 765]"
Roommates,161495,"[20283, 221917, 29185, 35068, 12623, 849, 916, 98502, 11593, 42719]"
Prêt-à-Porter,3586,"[71125, 66487, 45695, 41662, 3121, 52036, 55309, 29005, 5279, 67772]"
Three Colors: Red,110,"[108, 109, 1600, 10754, 4710, 54083, 11986, 89049, 228970, 1629]"
