homepage,id,imdb_id,original_title,cast,director
,10530,tt0114148,Pocahontas,"['irenebedard', 'melgibson', 'davidogdenstiers']",mikegabriel
,8391,tt0114916,When Night Is Falling,"['pascalebussières', 'rachaelcrawford', 'henryczerny']",patriciarozema
http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,629,tt0114814,The Usual Suspects,"['stephenbaldwin', 'gabrielbyrne', 'chazzpalminteri']",bryansinger
,11448,tt0113819,Mighty Aphrodite,"['woodyallen', 'mirasorvino', 'helenabonhamcarter']",woodyallen
,49133,tt0110299,Lamerica,"['enricoloverso', 'micheleplacido', 'piromilkani']",gianniamelio
,26441,tt0112499,The Big Green,"['steveguttenberg', ""oliviad'abo"", 'jayo.sanders']",hollygoldbergsloan
,97406,tt0113158,Georgia,"['jenniferjasonleigh', 'marewinningham', 'tedlevine']",ulugrosbard
,9089,tt0113321,Home for the Holidays,"['hollyhunter', 'robertdowneyjr.', 'annebancroft']",jodiefoster
,11010,tt0110877,Il postino,"['philippenoiret', 'massimotroisi', 'mariagraziacucinotta']",michaelradford
,99040,tt0112714,Le confessionnal,"['lothairebluteau', 'patrickgoyette', 'jean-louismillette']",robertlepage
,11359,tt0113419,The Indian in the Cupboard,"['halscardino', 'litefoot', 'lindsaycrouse']",frankoz
,17182,tt0116260,Eye for an Eye,"['sallyfield', 'kiefersutherland', 'edharris']",johnschlesinger
,2054,tt0113862,Mr. Holland's Opus,"['richarddreyfuss', 'glenneheadly', 'jaythomas']",stephenherek
,10607,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['shawnwayans', 'marlonwayans', 'traceycherellejones']",parisbarclay
,19760,tt0118002,Two If by Sea,"['sandrabullock', 'denisleary', 'yaphetkotto']",billbennett
,9536,tt0115683,Bio-Dome,"['paulyshore', 'stephenbaldwin', 'joeylaurenadams']",jasonbloom
,11525,tt0116839,Lawnmower Man 2: Beyond Cyberspace,"['patrickbergin', 'mattfrewer', ""austino'brien""]",farhadmann
,4482,tt0113149,Gazon maudit,"['victoriaabril', 'josianebalasko', 'alainchabat']",josianebalasko
http://www.newline.com/properties/friday.html,10634,tt0113118,Friday,"['icecube', 'christucker', 'nialong']",f.garygray
http://www.miramax.com/movie/from-dusk-till-dawn/,755,tt0116367,From Dusk Till Dawn,"['georgeclooney', 'quentintarantino', 'harveykeitel']",robertrodriguez
,11859,tt0113010,Fair Game,"['williambaldwin', 'cindycrawford', 'stevenberkoff']",andrewsipes
,28387,tt0113537,Kicking and Screaming,"['joshhamilton', ""oliviad'abo"", 'carlosjacott']",noahbaumbach
,48750,tt0113828,Les misérables,"['jean-paulbelmondo', 'michelboujenah', 'alessandramartines']",claudelelouch
,20927,tt0115644,Bed of Roses,"['christianslater', 'marystuartmasterson', 'pamelaadlon']",michaelgoldenberg
,9102,tt0114367,Screamers,"['peterweller', 'roydupuis', 'jenniferrubin']",christianduguay
,124626,tt0113973,Nico Icon,"['nico', 'tinaaumont', 'jacksonbrowne']",susanneofteringer
,27526,tt0112744,The Crossing Guard,"['jacknicholson', 'davidmorse', 'anjelicahuston']",seanpenn
,9623,tt0116731,The Juror,"['demimoore', 'alecbaldwin', 'josephgordon-levitt']",briangibson
,46785,tt0112445,بادکنک سفید,"['aidamohammadkhani', 'mohsenkafili', 'fereshtehsadreorafaiy']",jafarpanahi
,400,tt0114660,Things to Do in Denver When You're Dead,"['andygarcía', 'christopherlloyd', 'williamforsythe']",garyfleder
,880,tt0112379,Antonia,"['willekevanammelrooy', 'elsdottermans', 'doravandergroen']",marleengorris
,146599,tt0114039,Once Upon a Time... When We Were Colored,"['alfreeman,jr.', 'phyliciarashād', 'paulakelly']",timreid
,188588,tt0113612,Last Summer in the Hamptons,"['victoriafoyt', 'vivecalindfors', 'jonrobinbaitz']",henryjaglom
,8447,tt0112365,Angels and Insects,"['markrylance', 'kristinscottthomas', 'patsykensit']",philiphaas
,10534,tt0118158,White Squall,"['jeffbridges', 'carolinegoodall', 'johnsavage']",ridleyscott
,17414,tt0116151,Dunston Checks In,"['jasonalexander', 'fayedunaway', 'ericlloyd']",kenkwapis
,13997,tt0115697,Black Sheep,"['chrisfarley', 'davidspade', 'grantheslov']",penelopespheeris
,2086,tt0113972,Nick of Time,"['johnnydepp', 'courtneychase', 'charless.dutton']",johnbadham
,9095,tt0117002,Mary Reilly,"['juliaroberts', 'johnmalkovich', 'georgecole']",stephenfrears
,12158,tt0114825,Vampire in Brooklyn,"['eddiemurphy', 'angelabassett', 'allenpayne']",wescraven
,9283,tt0115639,Beautiful Girls,"['mattdillon', 'noahemmerich', 'annabethgish']",teddemme
,9208,tt0115759,Broken Arrow,"['johntravolta', 'christianslater', 'samanthamathis']",johnwoo
,40154,tt0113403,A Midwinter's Tale,"['richardbriers', 'joancollins', 'michaelmaloney']",kennethbranagh
,406,tt0113247,La Haine,"['vincentcassel', 'hubertkoundé', 'saïdtaghmaoui']",mathieukassovitz
,45549,tt0111173,Shopping,"['sadiefrost', 'judelaw', 'seanpertwee']",paulw.s.anderson
http://www.nickbroomfield.com/heidifleiss.html,63076,tt0113283,Heidi Fleiss: Hollywood Madam,"['nickbroomfield', 'heidifleiss', 'madamalex']",nickbroomfield
,11062,tt0115907,City Hall,"['alpacino', 'johncusack', 'bridgetfonda']",haroldbecker
,13685,tt0115734,Bottle Rocket,"['lukewilson', 'owenwilson', 'lumicavazos']",wesanderson
,47475,tt0117102,Mr. Wrong,"['ellendegeneres', 'billpullman', 'joancusack']",nickcastle
,2045,tt0118040,Unforgettable,"['rayliotta', 'lindafiorentino', 'petercoyote']",johndahl
,9614,tt0116483,Happy Gilmore,"['adamsandler', 'benstiller', 'christophermcdonald']",dennisdugan
,688,tt0112579,The Bridges of Madison County,"['merylstreep', 'clinteastwood', 'anniecorley']",clinteastwood
,10874,tt0117110,Muppet Treasure Island,"['timcurry', 'kevinbishop', 'jennifersaunders']",brianhenson
,89333,tt0112646,Catwalk,"['christyturlington', 'azzedinealaïa', 'giorgioarmani']",robertleacock
,197,tt0112573,Braveheart,"['melgibson', 'catherinemccormack', 'sophiemarceau']",melgibson
,103,tt0075314,Taxi Driver,"['robertdeniro', 'cybillshepherd', 'harveykeitel']",martinscorsese
,33542,tt0113326,紅番區,"['jackiechan', 'anitamui', 'françoiseyip']",stanleytong
,43566,tt0115645,Before and After,"['merylstreep', 'liamneeson', 'edwardfurlong']",barbetschroeder
,71754,tt0113774,Margaret's Museum,"['helenabonhamcarter', 'cliverussell', 'craigolejnik']",mortransen
http://www.sonypictures.com/classics/annefrank/index.html,51352,tt0112373,Anne Frank Remembered,"['kennethbranagh', 'glennclose']",jonblair
,16934,tt0115033,The Young Poisoner's Handbook,"['tobiasarnold', 'ruthsheen', 'rogerlloydpack']",benjaminross
,10324,tt0116606,If Lucy Fell,"['sarahjessicaparker', 'ellemacpherson', 'scarlettjohansson']",ericschaeffer
,78406,tt0114536,Steal Big Steal Little,"['andygarcía', 'alanarkin', 'rachelticotin']",andrewdavis
,32119,tt0106473,The Boys of St. Vincent,"['henryczerny', 'johnnymorina', 'briandooley']",johnn.smith
,11066,tt0103859,Boomerang,"['eddiemurphy', 'robingivens', 'halleberry']",reginaldhudlin
,11104,tt0109424,重慶森林,"['brigittelin', 'tonyleungchiu-wai', 'fayewong']",wongkar-wai
,37975,tt0114808,L'uomo delle stelle,"['sergiocastellitto', 'tizianalodato', 'francoscaldati']",giuseppetornatore
,2074,tt0116324,Flirting with Disaster,"['benstiller', 'patriciaarquette', 'téaleoni']",davido.russell
,27793,tt0110647,The NeverEnding Story III,"['jasonjamesrichter', 'melodykay', 'kevinmcnulty']",petermacdonald
,110972,tt0114131,Pie in the Sky,"['joshcharles', 'anneheche', 'johngoodman']",bryangordon
,32622,tt0112364,Angela,"['mirandarhyne', 'charlotteeveblythe', 'annalevine']",rebeccamiller
,73067,tt0113107,Frankie Starlight,"['mattdillon', 'corbanwalker', 'gabrielbyrne']",michaellindsay-hogg
,11863,tt0113451,Jade,"['davidcaruso', 'lindafiorentino', 'chazzpalminteri']",williamfriedkin
,9101,tt0116130,Down Periscope,"['kelseygrammer', 'laurenholly', 'robschneider']",davids.ward
,5757,tt0113756,Man of the Year,"['dirkshafer', 'marystein', 'claudettesutherland']",dirkshafer
,9302,tt0118055,Up Close & Personal,"['robertredford', 'michellepfeiffer', 'stockardchanning']",jonavnet
,11000,tt0115685,The Birdcage,"['robinwilliams', 'genehackman', 'nathanlane']",mikenichols
,16388,tt0112585,The Brothers McMullen,"['sharialbert', 'maxinebahns', 'catharinebolz']",edwardburns
,9737,tt0112442,Bad Boys,"['willsmith', 'martinlawrence', 'téaleoni']",michaelbay
,30765,tt0112342,The Amazing Panda Adventure,"['stephenlang', 'ryanslater', 'yiding']",christophercain
,10474,tt0112461,The Basketball Diaries,"['leonardodicaprio', 'lorrainebracco', 'jamesmadio']",scottkalvert
,22279,tt0112427,An Awfully Big Adventure,"['alanrickman', 'hughgrant', 'georginacates']",mikenewell
,30157,tt0109093,Amateur,"['isabellehuppert', 'martindonovan', 'elinalöwensohn']",halhartley
,568,tt0112384,Apollo 13,"['tomhanks', 'billpaxton', 'kevinbacon']",ronhoward
,11780,tt0114287,Rob Roy,"['liamneeson', 'jessicalange', 'johnhurt']",michaelcaton-jones
,34996,tt0112288,The Addiction,"['lilitaylor', 'christopherwalken', 'annabellasciorra']",abelferrara
,414,tt0112462,Batman Forever,"['valkilmer', 'tommyleejones', 'jimcarrey']",joelschumacher
,649,tt0061395,Belle de jour,"['catherinedeneuve', 'michelpiccoli', 'jeansorel']",luisbuñuel
,1873,tt0112495,Beyond Rangoon,"['patriciaarquette', 'francesmcdormand', 'uaungko']",johnboorman
http://miramax.com/movie/blue-in-the-face/,5894,tt0112541,Blue in the Face,"['harveykeitel', 'loureed', 'michaelj.fox']",paulauster
,1775,tt0109370,Canadian Bacon,"['johncandy', 'alanalda', 'rheaperlman']",michaelmoore
,8839,tt0112642,Casper,"['christinaricci', 'billpullman', 'cathymoriarty']",bradsilberling
,20649,tt0112688,Clockers,"['harveykeitel', 'johnturturro', 'delroylindo']",spikelee
,10329,tt0112715,Congo,"['lauralinney', 'dylanwalsh', 'erniehudson']",frankmarshall
,8963,tt0112740,Crimson Tide,"['denzelwashington', 'genehackman', 'mattcraven']",tonyscott
,26564,tt0109508,Crumb,"['robertcrumb', 'alinekominsky', 'charlescrumb']",terryzwigoff
,8068,tt0112851,Desperado,"['antoniobanderas', 'salmahayek', 'joaquimdealmeida']",robertrodriguez
,8512,tt0112857,Devil in a Blue Dress,"['denzelwashington', 'tomsizemore', 'jenniferbeals']",carlfranklin
,1572,tt0112864,Die Hard: With a Vengeance,"['brucewillis', 'jeremyirons', 'samuell.jackson']",johnmctiernan
,13552,tt0112887,The Doom Generation,"['rosemcgowan', 'jamesduval', 'johnathonschaech']",greggaraki
,259209,tt0113044,Feast of July,"['embethdavidtz', 'tombell', 'gemmajones']",christophermenaul
,6520,tt0113071,First Knight,"['seanconnery', 'richardgere', 'juliaormond']",jerryzucker
,9073,tt0113114,Free Willy 2 - The Adventure Home,"['jasonjamesrichter', 'michaelmadsen', 'jayneatkinson']",dwighth.little
,10428,tt0113243,Hackers,"['jonnyleemiller', 'angelinajolie', 'jessebradford']",iainsoftley
,17447,tt0113464,Jeffrey,"['stevenweber', 'patrickstewart', 'michaelt.weiss']",christopherashley
,9886,tt0113481,Johnny Mnemonic,"['keanureeves', 'dinameyer', 'takeshikitano']",robertlongo
,9482,tt0113492,Judge Dredd,"['sylvesterstallone', 'dianelane', 'armandassante']",dannycannon
,19326,tt0113500,Jury Duty,"['paulyshore', 'tiacarrere', 'stanleytucci']",johnfortenberry
,9344,tt0113540,Kids,"['leofitzpatrick', 'rosariodawson', 'chloësevigny']",larryclark
,9071,tt0113677,Living in Oblivion,"['stevebuscemi', 'catherinekeener', 'dermotmulroney']",tomdicillo
,8973,tt0113690,Lord of Illusions,"['scottbakula', ""kevinj.o'connor"", 'famkejanssen']",clivebarker
,15730,tt0107447,Love & Human Remains,"['thomasgibson', 'ruthmarshall', 'cameronbancroft']",denysarcand
,47608,tt0113729,Mad Love,"[""chriso'donnell"", 'drewbarrymore', 'matthewlillard']",antoniabird
,2293,tt0113749,Mallrats,"['jasonlee', 'jeremylondon', 'shannendoherty']",kevinsmith
http://www.powerrangers.com/,9070,tt0113820,Mighty Morphin Power Rangers: The Movie,"['amyjojohnson', 'jasondavidfrank', 'davidyost']",bryanspicer
,48787,tt0110604,Mute Witness,"['marinazudina', 'fayripley', 'evanrichards']",anthonywaller
,34574,tt0110620,Nadja,"['elinalöwensohn', 'peterfonda', 'davidlynch']",michaelalmereyda
,1642,tt0113957,The Net,"['sandrabullock', 'jeremynortham', 'dennismiller']",irwinwinkler
,11472,tt0113986,Nine Months,"['hughgrant', 'juliannemoore', 'tomarnold']",chriscolumbus
,36196,tt0114095,Party Girl,"['parkerposey', 'lievschreiber', 'anthonydesando']",daisyvonscherlermayer
,11980,tt0114194,The Prophecy,"['christopherwalken', 'eliaskoteas', 'virginiamadsen']",gregorywiden
,58372,tt0114241,Reckless,"['miafarrow', 'tonygoldwyn', 'scottglenn']",normanrené
,32646,tt0114323,Safe,"['juliannemoore', 'xanderberkeley', 'deannorris']",toddhaynes
,10533,tt0114345,The Scarlet Letter,"['demimoore', 'garyoldman', 'robertduvall']",rolandjoffé
,10802,tt0114436,Showgirls,"['elizabethberkley', 'kylemaclachlan', 'ginagershon']",paulverhoeven
,10149,tt0114478,Smoke,"['harveykeitel', 'williamhurt', 'giancarloesposito']",waynewang
,18402,tt0114496,Something to Talk About,"['juliaroberts', 'dennisquaid', 'robertduvall']",lassehallström
,9348,tt0114508,Species,"['natashahenstridge', 'benkingsley', 'michaelmadsen']",rogerdonaldson
http://www.strange-days.com,281,tt0114558,Strange Days,"['ralphfiennes', 'angelabassett', 'tomsizemore']",kathrynbigelow
,5967,tt0058450,Les parapluies de Cherbourg,"['catherinedeneuve', 'ninocastelnuovo', 'annevernon']",jacquesdemy
,79593,tt0114666,The Tie That Binds,"['darylhannah', 'keithcarradine', 'moirakelly']",wesleystrick
,47939,tt0114663,Three Wishes,"['patrickswayze', 'maryelizabethmastrantonio', 'josephmazzello']",marthacoolidge
,36834,tt0114702,Total Eclipse,"['leonardodicaprio', 'davidthewlis', 'romanebohringer']",agnieszkaholland
,9090,tt0114682,"To Wong Foo, Thanks for Everything! Julie Newmar","['patrickswayze', 'wesleysnipes', 'johnleguizamo']",beebankidron
,3512,tt0114781,Under Siege 2: Dark Territory,"['stevenseagal', 'ericbogosian', 'everettmcgill']",geoffmurphy
,52856,tt0114798,Unstrung Heroes,"['andiemacdowell', 'johnturturro', 'michaelrichards']",dianekeaton
,77350,tt0114805,Unzipped,"['sandrabernhard', 'isaacmizrahi', 'naomicampbell']",douglaskeeve
,9560,tt0114887,A Walk in the Clouds,"['keanureeves', 'aitanasánchez-gijón', 'anthonyquinn']",alfonsoaráu
,9804,tt0114898,Waterworld,"['kevincostner', 'chaimgirafi', 'rickaviles']",kevinreynolds
,31611,tt0114928,White Man's Burden,"['johntravolta', 'harrybelafonte', 'kellylynch']",desmondnakano
,49805,tt0109340,The Browning Version,"['albertfinney', 'gretascacchi', 'matthewmodine']",mikefiggis
,50797,tt0111579,Утомлённые солнцем,"['nikitamikhalkov', 'olegmenshikov', 'ingeborgadapkunaite']",nikitamikhalkov
,19155,tt0110882,Before the Rain,"['katrincartlidge', 'radeserbedzija', 'grégoirecolin']",milčomančevski
,76,tt0112471,Before Sunrise,"['ethanhawke', 'juliedelpy', 'andreaeckert']",richardlinklater
,11017,tt0112508,Billy Madison,"['adamsandler', 'darrenmcgavin', 'bridgettewilson']",tamradavis
,37141,tt0112438,The Babysitter,"['aliciasilverstone', 'jeremylondon', 'j.t.walsh']",guyferland
,9382,tt0112571,Boys on the Side,"['whoopigoldberg', 'mary-louiseparker', 'drewbarrymore']",herbertross
,6715,tt0112757,The Cure,"['bradrenfro', 'josephmazzello', 'annabellasciorra']",peterhorton
,18256,tt0112643,Castle Freak,"['jeffreycombs', 'barbaracrampton', 'jonathanfuller']",stuartgordon
,22625,tt0112679,Circle of Friends,"[""chriso'donnell"", 'minniedriver', ""geraldineo'rawe""]",pato'connor
http://www.miramax.com/movie/clerks/,2292,tt0109445,Clerks,"[""briano'halloran"", 'jeffanderson', 'jasonmewes']",kevinsmith
,1909,tt0112883,Don Juan DeMarco,"['johnnydepp', 'marlonbrando', 'fayedunaway']",jeremyleven
,8984,tt0109635,Disclosure,"['michaeldouglas', 'demimoore', 'donaldsutherland']",barrylevinson
,4954,tt0109676,Drop Zone,"['wesleysnipes', 'garybusey', 'yancybutler']",johnbadham
,62488,tt0112854,Destiny Turns on the Radio,"['dylanmcdermott', 'nancytravis', 'jameslegros']",jackbaran
,10531,tt0109579,Death and the Maiden,"['sigourneyweaver', 'benkingsley', 'stuartwilson']",romanpolanski
,11929,tt0109642,Dolores Claiborne,"['kathybates', 'jenniferjasonleigh', 'judyparfitt']",taylorhackford
,8467,tt0109686,Dumb and Dumber,"['jimcarrey', 'jeffdaniels', 'laurenholly']",peterfarrelly
,10451,tt0111797,飲食男女,"['sihunglung', 'yu-wenwang', 'jacklynwu']",anglee
,20156,tt0109759,Exotica,"['brucegreenwood', 'miakirshner', 'eliaskoteas']",atomegoyan
,18395,tt0109758,Exit to Eden,"['danadelany', 'paulmercurio', ""rosieo'donnell""]",garrymarshall
,522,tt0109707,Ed Wood,"['johnnydepp', 'martinlandau', 'sarahjessicaparker']",timburton
,397,tt0113117,French Kiss,"['megryan', 'kevinkline', 'timothyhutton']",lawrencekasdan
,10525,tt0113097,Forget Paris,"['billycrystal', 'debrawinger', 'joemantegna']",billycrystal
,27985,tt0113028,Far from Home: The Adventures of Yellow Dog,"['mimirogers', 'jessebradford', 'brucedavison']",phillipborsos
,15789,tt0113198,A Goofy Movie,"['billfarmer', 'jasonmarsden', 'robpaulsen']",kevinlima
,27303,tt0113303,Hideaway,"['jeffgoldblum', 'christinelahti', 'aliciasilverstone']",brettleonard
,21183,tt0113089,Fluke,"['samuell.jackson', 'matthewmodine', 'nancytravis']",carlocarlei
,10954,tt0109771,Farinelli,"['stefanodionisi', 'enricoloverso', 'elsazylberstein']",gérardcorbiau
,47867,tt0113199,Gordy,"['tedmanson', 'afemoomilami']",marklewis
,43475,tt0113234,Gumby: The Movie,[],artclokey
,72031,tt0109906,The Glass Shield,"['icecube', 'loripetty', 'erichanderson']",charlesburnett
,14275,tt0110057,Hoop Dreams,"['williamgates', 'arthuragee', 'stevejames']",stevejames
http://www.miramax.com/movie/heavenly-creatures,1024,tt0110005,Heavenly Creatures,"['melanielynskey', 'katewinslet', 'sarahpeirse']",peterjackson
,17207,tt0110066,Houseguest,"['sinbad', 'philhartman', 'jeffreyjones']",randallmiller
,13701,tt0110116,Immortal Beloved,"['garyoldman', 'jeroenkrabbé', 'isabellarossellini']",bernardrose
,14819,tt0110006,Heavyweights,"['benstiller', 'aaronschwartz', 'kenanthompson']",stevenbrill
,32631,tt0113360,The Hunted,"['christopherlambert', 'johnlone', 'joanchen']",j.f.lawton
,11777,tt0110099,I.Q.,"['timrobbins', 'megryan', 'waltermatthau']",fredschepisi
,628,tt0110148,Interview with the Vampire,"['bradpitt', 'tomcruise', 'kirstendunst']",neiljordan
,87729,tt0113463,Jefferson in Paris,"['nicknolte', 'gretascacchi', 'thandienewton']",jamesivory
,18713,tt0110189,The Jerky Boys,"['johng.brennan', 'kamalahmed', 'alanarkin']",jamesmelkonian
,6280,tt0110216,Junior,"['arnoldschwarzenegger', 'dannydevito', 'emmathompson']",ivanreitman
,9061,tt0113501,Just Cause,"['seanconnery', 'laurencefishburne', 'blairunderwood']",arneglimcher
,37108,tt0113538,A Kid in King Arthur's Court,"['thomasiannicholas', 'jossackland', 'artmalik']",michaelgottlieb
,6071,tt0113552,Kiss of Death,"['davidcaruso', 'samuell.jackson', 'nicolascage']",barbetschroeder
http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,tt0076759,Star Wars,"['markhamill', 'harrisonford', 'carriefisher']",georgelucas
,9587,tt0110367,Little Women,"['winonaryder', 'gabrielbyrne', 'trinialvarado']",gillianarmstrong
,19101,tt0113670,A Little Princess,"['lieselmatthews', 'eleanorbron', 'liamcunningham']",alfonsocuarón
,49980,tt0110296,Ladybird Ladybird,"['crissyrock', 'vladimirvega', 'sandielavelle']",kenloach
,17961,tt0109731,L'Enfer,"['emmanuellebéart', 'françoiscluzet', 'nathaliecardone']",claudechabrol
http://www.miramax.com/movie/like-water-for-chocolate/,18183,tt0103994,Como agua para chocolate,"['marcoleonardi', 'lumicavazos', 'reginatorné']",alfonsoaráu
,4476,tt0110322,Legends of the Fall,"['bradpitt', 'anthonyhopkins', 'aidanquinn']",edwardzwick
,11008,tt0110443,Major Payne,"['damonwayans', 'orlandobrown', 'michaelironside']",nickcastle
,47504,tt0110365,Little Odessa,"['edwardfurlong', 'timroth', 'moirakelly']",jamesgray
,32325,tt0107566,Mi Vida Loca,"['angelaviles', 'seidylópez', 'jacobvargas']",allisonanders
,43742,tt0110391,Love Affair,"['warrenbeatty', 'annettebening', 'katharinehepburn']",glenngordoncaron
,28313,tt0113691,Losing Isaiah,"['jessicalange', 'halleberry', 'davidstrathairn']",stephengyllenhaal
,11318,tt0110428,The Madness of King George,"['nigelhawthorne', 'helenmirren', 'ianholm']",nicholashytner
,3036,tt0109836,Frankenstein,"['robertdeniro', 'kennethbranagh', 'tomhulce']",kennethbranagh
,40490,tt0113755,Man of the House,"['farrahfawcett', 'chevychase', 'jonathantaylorthomas']",jamesorr
,24070,tt0110538,Mixed Nuts,"['stevemartin', 'madelinekahn', 'robertklein']",noraephron
,8986,tt0110516,Milk Money,"['melaniegriffith', 'edharris', 'michaelpatrickcarter']",richardbenjamin
,10510,tt0110527,Miracle on 34th Street,"['richardattenborough', 'elizabethperkins', 'dylanmcdermott']",lesmayfield
,17402,tt0113808,Miami Rhapsody,"['sarahjessicaparker', 'antoniobanderas', 'miafarrow']",davidfrankel
,38722,tt0113896,My Family,"['edwardjamesolmos', 'jimmysmits', 'esaimorales']",gregorynava
,8438,tt0113870,Murder in the First,"['christianslater', 'kevinbacon', 'garyoldman']",marcrocco
,11593,tt0110684,Nobody's Fool,"['paulnewman', 'brucewillis', 'melaniegriffith']",robertbenton
,1945,tt0110638,Nell,"['jodiefoster', 'liamneeson', 'natasharichardson']",michaelapted
,39310,tt0113967,New Jersey Drive,"['sharroncorley', 'donaldfaison', 'christinebaranski']",nickgomez
,56428,tt0106402,Beyond Bedlam,"['elizabethhurley', 'craigfairbrass', 'keithallen']",vadimjean
,131957,tt0110671,Nina Takes a Lover,"['laurasangiacomo', ""michaelo'keefe"", 'paulrhys']",alanjacobs
